date,icln_icln,xle_xle,vix_vix,brent_bz_f,sp500_gspc,dgs10,carbon_eua,icln_icln_ret,xle_xle_ret,brent_bz_f_ret,carbon_eua_ret,sp500_gspc_ret,dgs10_diff,carbon_shock_resid,carbon_shock,icln_vol,xle_vol,icln_garch_vol,xle_garch_vol
2018-01-02,8.579463958740234,53.14772415161133,9.770000457763672,66.56999969482422,2695.81005859375,2.46,8.22,,,,,,,,0,,,,
2018-01-03,8.561325073242188,53.94368743896485,9.149999618530272,67.83999633789062,2713.06005859375,2.44,8.24,-0.0021164594272931,0.0148653927170183,0.0188979164737527,0.0024301348532916,0.006378433243936,-0.02,0.0012056512107091,0,,,0.9884333422938391,1.3662522798557766
2018-01-04,8.49783992767334,54.269317626953125,9.220000267028809,68.06999969482422,2723.989990234375,2.46,8.18,-0.0074429714049203,0.0060183370873052,0.0033846454745148,-0.0073081933067247,0.0040205428553269,0.02,-0.00848428846965,0,,,0.9673124049943361,1.3887625686498717
2018-01-05,8.525047302246094,54.24757766723633,9.220000267028809,67.62000274658203,2743.14990234375,2.47,8.19,0.003196566760085,-0.0004006741982196,-0.0066327450789623,0.0012217472503222,0.0070091458885853,0.0100000000000002,-0.0004025333826213,0,,,0.9665833052289682,1.3446835767434724
2018-01-08,8.652016639709473,54.573219299316406,9.520000457763672,67.77999877929688,2747.7099609375,2.49,8.07,0.0147838595053674,0.0059849332697735,0.0023633102714878,-0.0147604155831205,0.0016609637672969,0.02,-0.0154113304766377,0,,,0.9489609432276374,1.2907284563050732
2018-01-09,8.633877754211426,54.43572616577149,10.079999923706056,68.81999969482422,2751.2900390625,2.55,8.19,-0.0020986929275896,-0.0025226041013444,0.0152272477658072,0.0147604155831204,0.0013020835172984,0.0599999999999996,0.0128546620195347,0,,,1.0095370012547984,1.2540631194786327
2018-01-10,8.615738868713379,54.37060546875,9.81999969482422,69.19999694824219,2748.22998046875,2.55,8.28,-0.0021031067043794,-0.0011970021196141,0.0055064225881476,0.0109290705321902,-0.0011128458115206,0.0,0.0115283703357313,0,,,0.9871273953474079,1.2087599812253969
2018-01-11,8.788054466247559,55.48493194580078,9.880000114440918,69.26000213623047,2767.56005859375,2.54,8.21,0.0198027206228601,0.0202878202411893,0.0008667512948383,-0.0084900449328312,0.007009025768882,-0.0099999999999997,-0.0109718196966488,0,,,0.9660641082225443,1.1647050845455147
2018-01-12,8.760847091674805,56.0203971862793,10.15999984741211,69.87000274658203,2786.239990234375,2.55,8.26,-0.0031007520649761,0.0096043724682952,0.0087688420563338,0.0060716640685497,0.006726926399094,0.0099999999999997,0.0043826730999572,0,,,1.0835139826040778,1.2859454372497479
2018-01-16,8.724570274353027,55.31127548217773,11.65999984741211,69.1500015258789,2776.419921875,2.54,8.45,-0.0041493855836257,-0.0127390755390095,-0.0103583316972648,0.0227418538361956,-0.0035307132616026,-0.0099999999999997,0.0205888854768068,0,,,1.0585728347189847,1.2709805365706808
